type,geometry.type,geometry.coordinates,properties.id_station,properties.denominazione,properties.rete,properties.interesse_rete,properties.tipologia_di_stazione,properties.tipologia_di_area,properties.comune,properties.provincia,properties.paese,properties.paese_esteso,properties.inquinante_misurato,properties.valore_inquinante_misurato,properties.limite,properties.superamenti,properties.unita_misura,properties.indice_qualita,properties.data_di_misurazione,properties.responsabile_dato,properties.punto_di_contatto,properties.sorgente,properties.version,properties.marker-color,properties.name
Feature,Point,"[16.845278, 41.134724]",90,Bari - CUS,RRQA,PUBBLICO,Traffico,Suburbana,Bari,Bari,IT,Italy,NO2,29.0,200.0,0,µg/m³,15.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Bari - CUS
Feature,Point,"[16.845278, 41.134724]",90,Bari - CUS,RRQA,PUBBLICO,Traffico,Suburbana,Bari,Bari,IT,Italy,O3,97.0,180.0,0,µg/m³,54.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#9acc00,Bari - CUS
Feature,Point,"[16.845278, 41.134724]",90,Bari - CUS,RRQA,PUBBLICO,Traffico,Suburbana,Bari,Bari,IT,Italy,PM10,14.0,50.0,4,µg/m³,28.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Bari - CUS
Feature,Point,"[16.858906, 41.099594]",55,Bari - Kennedy,RRQA,PUBBLICO,Fondo,Urbana,Bari,Bari,IT,Italy,NO2,41.0,200.0,0,µg/m³,21.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Bari - Kennedy
Feature,Point,"[16.858906, 41.099594]",55,Bari - Kennedy,RRQA,PUBBLICO,Fondo,Urbana,Bari,Bari,IT,Italy,O3,87.0,180.0,0,µg/m³,48.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#9acc00,Bari - Kennedy
Feature,Point,"[16.858906, 41.099594]",55,Bari - Kennedy,RRQA,PUBBLICO,Fondo,Urbana,Bari,Bari,IT,Italy,PM10,15.0,50.0,3,µg/m³,30.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Bari - Kennedy
Feature,Point,"[16.745277, 41.079166]",106,Bitonto - EN01,RRQA,PRIVATO,Industriale,Suburbana,Bitonto,Bari,IT,Italy,CO,0.6,10.0,0,mg/m³,6.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Bitonto - EN01
Feature,Point,"[16.745277, 41.079166]",106,Bitonto - EN01,RRQA,PRIVATO,Industriale,Suburbana,Bitonto,Bari,IT,Italy,NO2,27.0,200.0,0,µg/m³,14.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Bitonto - EN01
Feature,Point,"[16.745277, 41.079166]",106,Bitonto - EN01,RRQA,PRIVATO,Industriale,Suburbana,Bitonto,Bari,IT,Italy,O3,109.0,180.0,0,µg/m³,61.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#9acc00,Bitonto - EN01
Feature,Point,"[16.745277, 41.079166]",106,Bitonto - EN01,RRQA,PRIVATO,Industriale,Suburbana,Bitonto,Bari,IT,Italy,PM10,14.0,50.0,8,µg/m³,28.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Bitonto - EN01
